id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
1aad2d70-d89b-4e83-8ee7-5cde4d3c464e,32fef52a3740ca94201250da530fe7550b902daf47bc25ad0ade98be498027e8,2026-04-30 17:03:09.485545+08,20260405115207_init_user_profile,,,2026-04-30 17:03:09.456379+08,1
d643a50f-4760-45fb-997f-7a395d7d6d7c,ac785dcaabfff879a1ba20000254ad01e21485e954dde34747ff7ffbf3e6b24e,2026-04-30 17:03:09.517187+08,20260405142740_add_message_mode,,,2026-04-30 17:03:09.487842+08,1
07d21ced-05e0-48b8-b387-b564f37d439c,8764b37f24374e28bd12e4fd2dec812fa0859b90d16ea0f91a2cc8637fd66677,2026-04-30 17:03:09.55014+08,20260406033239_add_current_state_and_feedback_record,,,2026-04-30 17:03:09.5199+08,1
8cf81645-00db-40f3-a5de-9027c0f5821f,9e220570055d5637ac0dea48c4d73e40ac4d058ead1d03ae5ea561307934d2c4,2026-04-30 17:03:09.555678+08,20260406051317_feedback_optional_message_id,,,2026-04-30 17:03:09.551439+08,1
3ed1a25c-cc47-4e33-b0b6-418d361f559a,da823599a2c96edee12bed1d34911f62f713e74cdad0cdc5a495d00aff6aa6de,2026-04-30 17:03:09.572335+08,20260407010826_add_daily_recovery,,,2026-04-30 17:03:09.556994+08,1
63d35445-15b2-4c87-af94-f5c4681eb0c5,4b26501eb5310e62c37b2450f562fb3c205774dcbde6c4e6f5babcaf3e25a09b,2026-04-30 17:03:09.600393+08,20260407031937_daily_recovery_multi_tasks,,,2026-04-30 17:03:09.574082+08,1
5d1ca036-3b38-4621-9e75-7201d237509c,190927b5854700e4cd31039a70b97d168b45ec7078d88ff97a23f569cadcec25,2026-04-30 17:03:09.657341+08,20260409120000_add_recovery_progress_and_diary,,,2026-04-30 17:03:09.601643+08,1
8e59909d-7a08-43d4-899a-f885f343ecc9,80c4e84497ad39f989651db4580cd0ed8031568b40005285bfb4ef1c7b953bae,2026-04-30 17:03:09.683534+08,20260424120000_add_onboarding_and_support_context,,,2026-04-30 17:03:09.658728+08,1
91c41739-4f3e-4e0e-a2ab-479164ad10b4,1fd60094afa113a7b97b78b7b0d9d6145b59e69608ae7346bd2e46bef8eee7b7,2026-04-30 17:03:09.692716+08,20260429101622_add_auth_fields_to_user,,,2026-04-30 17:03:09.684835+08,1
e5d3acaa-717f-4e6c-b5ec-535e87c14f84,14b742122c56d465ab408e350209056fb34b9b9fc16d6b712f20843155e95aa0,2026-04-30 17:03:09.698851+08,20260429130000_daily_recovery_chat_suggestion_reminder,,,2026-04-30 17:03:09.694043+08,1
b38b9cb4-47b9-4106-a3d0-e0d4e686eab5,4f4f4d34f90807712e1aa0f9cba0febe2d41b79f52624865bf620228ac2d0c12,2026-04-30 17:03:09.704916+08,20260429140000_rename_continuation_preset_days,,,2026-04-30 17:03:09.700104+08,1
